customer,recency,frequency,monetary,R,F,M,RFM Score
Dr. Roseann Barton DVM,86,2,48,1,4,2,142
Dr. Rosemary Jaskolski PhD,5,1,36,5,1,1,511
Dr. Royce Kreiger II,5,1,46,5,1,2,512
Dr. Rubin Carroll,11,3,181,4,5,5,455
Dr. Rudolph Spencer,71,1,22,1,1,1,111
Dr. Russ Reinger DDS,2,2,80,5,4,4,544
Dr. Rustin Macejkovic,74,1,21,1,1,1,111
Dr. Rusty Howell,2,3,157,5,5,5,555
Dr. Ruthann Von,39,4,188,3,5,5,355
Dr. Ryder Hirthe,35,3,127,3,5,5,355
Dr. Ryne Collins,60,1,71,2,1,3,213
Dr. Sage Mayer,47,1,43,2,1,2,212
Dr. Sal Walter MD,5,1,66,5,1,3,513
Dr. Salvador Cronin,19,1,49,4,1,2,412
Dr. Samuel Gorczany,18,1,35,4,1,1,411
Dr. Santana Schultz V,4,3,193,5,5,5,555
Dr. Santiago Keeling,26,2,106,4,4,4,444
Dr. Santo Kerluke,42,1,30,3,1,1,311
Dr. Saul Roberts DDS,20,2,135,4,4,5,445
Dr. Sawyer Waelchi Jr.,7,1,27,5,1,1,511
Dr. Scottie Muller MD,2,3,219,5,5,5,555
Dr. Scotty Russel IV,53,1,57,2,1,2,212
Dr. Seamus Kautzer,47,1,61,2,1,3,213
Dr. Seamus Mitchell I,62,1,43,2,1,2,212
Dr. Seneca Botsford Jr.,0,1,56,5,1,2,512
Dr. Serenity Glover,12,2,141,4,4,5,445
Dr. Shaina Reichert,48,2,95,2,4,4,244
Dr. Shameka Schimmel,7,4,199,5,5,5,555
Dr. Shana Upton DDS,61,2,61,2,4,3,243
Dr. Shane Kirlin,36,1,24,3,1,1,311
Dr. Shani Gorczany PhD,6,4,261,5,5,5,555
Dr. Shaniece Herzog PhD,11,1,55,4,1,2,412
Dr. Shanna Larkin,1,8,496,5,5,5,555
Dr. Shanta Brakus MD,4,2,56,5,4,2,542
Dr. Shara Upton,39,1,53,3,1,2,312
Dr. Sharyn Waelchi,18,1,25,4,1,1,411
Dr. Shayne Gleichner IV,75,1,73,1,1,3,113
Dr. Shayne Kshlerin I,35,1,35,3,1,1,311
Dr. Shea Buckridge PhD,50,1,61,2,1,3,213
Dr. Shelba Huels,3,2,73,5,4,3,543
Dr. Shelba Kulas,47,2,61,2,4,3,243
Dr. Shelia Schmeler DVM,84,1,42,1,1,2,112
Dr. Shelly Hoeger,73,1,53,1,1,2,112
Dr. Shenna Hickle,81,1,20,1,1,1,111
Dr. Sherie Mayer,34,1,53,3,1,2,312
Dr. Shirl Cremin PhD,47,1,21,2,1,1,211
Dr. Shoji Hand,18,1,49,4,1,2,412
Dr. Shona Dach DDS,6,1,38,5,1,1,511
Dr. Shyann Durgan,66,1,67,2,1,3,213
Dr. Sid Hauck I,87,1,75,1,1,3,113
Dr. Siddie Brown,68,1,75,1,1,3,113
Dr. Silvester Hahn,25,1,22,4,1,1,411
Dr. Silvester Lebsack,87,1,76,1,1,4,114
Dr. Silvester Toy,34,1,27,3,1,1,311
Dr. Silvia Runolfsdottir,69,1,35,1,1,1,111
Dr. Sim Durgan Jr.,84,1,77,1,1,4,114
Dr. Skyler Windler Sr.,25,1,20,4,1,1,411
Dr. Son Prosacco,23,1,28,4,1,1,411
Dr. Sophie Zemlak,19,2,82,4,4,4,444
Dr. Spring Tillman MD,42,1,73,3,1,3,313
Dr. Stan Wyman,47,1,24,2,1,1,211
Dr. Stetson Ritchie V,22,6,309,4,5,5,455
Dr. Steve Quigley,72,2,99,1,4,4,144
Dr. Stevie Koepp,90,1,46,1,1,2,112
Dr. Stevie Senger,6,2,129,5,4,5,545
Dr. Stewart Adams,12,2,115,4,4,4,444
Dr. Susana Towne,6,1,51,5,1,2,512
Dr. Susannah Bernier,0,1,76,5,1,4,514
Dr. Susanne Barton DVM,36,7,318,3,5,5,355
Dr. Sussie Lockman PhD,87,1,57,1,1,2,112
Dr. Suzann Kirlin,35,1,61,3,1,3,313
Dr. Sylvan Zulauf V,47,2,93,2,4,4,244
Dr. Sylvia Lueilwitz,70,1,47,1,1,2,112
Dr. Symone Oberbrunner PhD,1,2,86,5,4,4,544
Dr. Syreeta Heidenreich MD,65,1,32,2,1,1,211
Dr. Taj Hilpert V,21,1,65,4,1,3,413
Dr. Takisha Botsford DVM,60,1,31,2,1,1,211
Dr. Talan Harris IV,2,2,122,5,4,4,544
Dr. Talmage Moen Sr.,22,2,70,4,4,3,443
Dr. Talon Bergstrom,45,1,75,3,1,3,313
Dr. Tamie Cronin,46,2,107,2,4,4,244
Dr. Tammi Swaniawski,46,1,58,2,1,2,212
Dr. Tatianna Parisian DVM,14,3,143,4,5,5,455
Dr. Tavian Kessler I,12,1,47,4,1,2,412
Dr. Tavian Volkman,44,1,48,3,1,2,312
Dr. Taya Feest,21,1,72,4,1,3,413
Dr. Teagan Kreiger,77,1,67,1,1,3,113
Dr. Tempie Wilkinson,18,1,24,4,1,1,411
Dr. Tena Mitchell DDS,59,1,64,2,1,3,213
Dr. Tenika Rippin,4,1,29,5,1,1,511
Dr. Teri Kemmer,35,4,169,3,5,5,355
Dr. Teri Raynor,57,1,31,2,1,1,211
Dr. Tex Osinski,26,1,68,4,1,3,413
Dr. Thad Luettgen IV,38,2,93,3,4,4,344
Dr. Thea Ondricka DDS,88,1,72,1,1,3,113
Dr. Theodis Bogan,12,2,125,4,4,5,445
Dr. Theophile Erdman DDS,65,2,117,2,4,4,244
Dr. Theresa Hammes,41,1,20,3,1,1,311
Dr. Thyra Greenholt PhD,35,21,1053,3,5,5,355
Dr. Tiffani Dickinson,33,1,41,3,1,2,312
Dr. Tiffany Smith DDS,14,1,73,4,1,3,413
Dr. Tillman Lemke DDS,30,1,57,3,1,2,312
Dr. Tina Douglas,1,1,26,5,1,1,511
Dr. Tinie Dickinson,77,1,66,1,1,3,113
Dr. Tisha Skiles PhD,23,1,74,4,1,3,413
Dr. Titus McCullough,77,1,51,1,1,2,112
Dr. Tom Kling,16,1,33,4,1,1,411
Dr. Tommy Koss,5,1,64,5,1,3,513
Dr. Tony Bartoletti I,48,2,105,2,4,4,244
Dr. Tori Howell PhD,36,2,69,3,4,3,343
Dr. Toshiko Lang MD,83,1,77,1,1,4,114
Dr. Toshio Bauch V,10,3,172,5,5,5,555
Dr. Tracie Wilkinson,67,1,47,2,1,2,212
Dr. Tracy Heidenreich DVM,46,5,240,2,5,5,255
Dr. Trent Langosh V,42,1,52,3,1,2,312
Dr. Trenton Reilly MD,24,2,107,4,4,4,444
Dr. Trenton Wiegand DVM,6,1,73,5,1,3,513
Dr. Trevor Beatty,10,3,103,5,5,4,554
Dr. Treyton Casper,54,1,37,2,1,1,211
Dr. Trina Satterfield DVM,46,1,47,2,1,2,212
Dr. Trinidad Schaden,25,2,76,4,4,4,444
Dr. Trista Beer,33,1,72,3,1,3,313
Dr. Tristan Schamberger MD,10,1,32,5,1,1,511
Dr. Troy Stokes I,40,3,167,3,5,5,355
Dr. Truman Raynor,47,1,68,2,1,3,213
Dr. Trystan McLaughlin,46,1,70,2,1,3,213
Dr. Trystan Schimmel III,40,1,65,3,1,3,313
Dr. Tuan McKenzie III,59,1,21,2,1,1,211
Dr. Tucker Terry Jr.,72,2,110,1,4,4,144
Dr. Tyler Glover,20,1,20,4,1,1,411
Dr. Tyree Jones Sr.,7,1,55,5,1,2,512
Dr. Tyreke DuBuque IV,62,1,35,2,1,1,211
Dr. Tyriq Anderson,74,2,66,1,4,3,143
Dr. Uriah Bergstrom IV,15,2,93,4,4,4,444
Dr. Valentine Volkman DVM,45,1,24,3,1,1,311
Dr. Van Feest Sr.,39,1,21,3,1,1,311
Dr. Vander Beahan,4,3,183,5,5,5,555
Dr. Velvet Deckow PhD,48,1,55,2,1,2,212
Dr. Veola Effertz,11,1,66,4,1,3,413
Dr. Vere Heller Jr.,3,3,82,5,5,4,554
Dr. Vergil Larkin,75,1,21,1,1,1,111
Dr. Verlie Bahringer PhD,58,1,51,2,1,2,212
Dr. Verlon Haley DDS,1,4,250,5,5,5,555
Dr. Verne Mann,19,2,73,4,4,3,443
Dr. Vernon Erdman,66,1,48,2,1,2,212
Dr. Vic Bauch,46,1,35,2,1,1,211
Dr. Vicente Zboncak PhD,40,1,38,3,1,1,311
Dr. Vince Bosco I,3,5,252,5,5,5,555
Dr. Vincenza Reilly DDS,43,1,50,3,1,2,312
Dr. Vinson Koepp II,47,2,56,2,4,2,242
Dr. Viridiana Johnston DVM,19,1,41,4,1,2,412
Dr. Vito Cummings PhD,41,1,76,3,1,4,314
Dr. Vito Jakubowski V,49,1,22,2,1,1,211
Dr. Viviana Feeney DVM,46,1,67,2,1,3,213
Dr. Von Mohr,76,1,57,1,1,2,112
Dr. Wardell Mitchell,11,1,25,4,1,1,411
Dr. Wardell Thompson Jr.,81,2,78,1,4,4,144
Dr. Warner Brekke,15,1,28,4,1,1,411
Dr. Wash Mosciski,14,2,100,4,4,4,444
Dr. Wayland Corkery,42,1,42,3,1,2,312
Dr. Webb Kulas,12,18,797,4,5,5,455
Dr. Weldon Daniel,45,1,44,3,1,2,312
Dr. Wendell Kessler,21,1,75,4,1,3,413
Dr. Werner Rosenbaum,81,1,47,1,1,2,112
Dr. Werner Vandervort,22,1,58,4,1,2,412
Dr. Wilbur Corkery I,3,3,110,5,5,4,554
Dr. Wilbur Rippin,5,2,90,5,4,4,544
Dr. Wiley Littel IV,12,2,97,4,4,4,444
Dr. Wilfredo Wisozk V,84,1,60,1,1,3,113
Dr. Wilhelm Durgan,46,1,65,2,1,3,213
Dr. Willis Bahringer,12,1,39,4,1,1,411
Dr. Winford Durgan,7,1,67,5,1,3,513
Dr. Winfred Sporer I,45,1,64,3,1,3,313
Dr. Wing Turcotte,76,1,38,1,1,1,111
Dr. Winnie O'Reilly DVM,84,1,68,1,1,3,113
Dr. Winter Ondricka DVM,39,1,51,3,1,2,312
Dr. Wm Cartwright DDS,27,7,321,3,5,5,355
Dr. Wm Wisozk DDS,48,1,54,2,1,2,212
Dr. Wong Kuhic IV,41,1,43,3,1,2,312
Dr. Woodie Thompson,77,1,23,1,1,1,111
Dr. Woodson Klein,12,2,60,4,4,3,443
Dr. Wyman Green I,59,1,37,2,1,1,211
Dr. Xander Rohan,46,1,32,2,1,1,211
Dr. Xzavier Kunde IV,41,1,68,3,1,3,313
Dr. Yulisa Friesen DVM,89,1,22,1,1,1,111
Dr. Yulisa McDermott,19,1,75,4,1,3,413
Dr. Yulisa Prosacco MD,42,1,21,3,1,1,311
Dr. Yusuf Crist PhD,6,1,57,5,1,2,512
Dr. Zachery Goyette DVM,5,1,27,5,1,1,511
Dr. Zackary Simonis,31,1,28,3,1,1,311
Dr. Zaid Kuhlman DDS,45,5,261,3,5,5,355
Dr. Zander Wolff I,70,1,54,1,1,2,112
Dr. Zetta Nader DDS,47,1,37,2,1,1,211
Dr. Zigmund Lakin III,59,1,31,2,1,1,211
Dr. Zollie Runolfsson V,34,1,28,3,1,1,311
Dr. Zora Collins,46,1,37,2,1,1,211
Drake Beer,47,1,39,2,1,1,211
Drake Cremin,64,1,28,2,1,1,211
Draven Olson,33,1,42,3,1,2,312
Draven Quigley,40,1,30,3,1,1,311
Drew Beier,3,3,107,5,5,4,554
Drew Hackett,39,1,79,3,1,4,314
Drew Lehner III,12,3,122,4,5,4,454
Drew Rohan,3,5,307,5,5,5,555
Drew Zulauf,12,1,77,4,1,4,414
Drucilla Bernhard,27,1,39,3,1,1,311
Drucilla Rolfson,4,3,142,5,5,5,555
Drusilla Boyle,5,4,185,5,5,5,555
Drusilla Nienow PhD,15,2,93,4,4,4,444
Duane Connelly,2,7,349,5,5,5,555
Dudley Franecki,47,2,63,2,4,3,243
Dudley Murazik,39,6,326,3,5,5,355
Duff Keebler PhD,69,1,38,1,1,1,111
Duke Swaniawski,21,1,25,4,1,1,411
Dulce Medhurst DVM,47,1,36,2,1,1,211
Dulce Wintheiser,26,1,76,4,1,4,414
Dulcie Leuschke,9,1,59,5,1,3,513
Durward Rohan Sr.,9,4,222,5,5,5,555
Durwood Dietrich,3,7,314,5,5,5,555
Durwood Fay I,88,1,29,1,1,1,111
Durwood Price,55,1,44,2,1,2,212
Durwood Spencer,35,1,59,3,1,3,313
Dustan Cronin,80,2,81,1,4,4,144
Dustan Keebler,81,2,104,1,4,4,144
Dustyn Hilpert,6,1,35,5,1,1,511
Duwayne Crist,79,1,51,1,1,2,112
Duwayne Schulist,2,6,302,5,5,5,555
Dwain Lesch,8,1,50,5,1,2,512
Dwain Skiles Jr.,11,1,41,4,1,2,412
Dwaine Boyle,8,1,76,5,1,4,514
Dwaine Kulas,47,1,46,2,1,2,212
Dwan Gulgowski DDS,41,1,70,3,1,3,313
Dwan Jacobs,66,1,21,2,1,1,211
Dwan Wilderman,31,4,202,3,5,5,355
Dwane Schulist,87,1,70,1,1,3,113
Dwayne Pacocha,9,8,441,5,5,5,555
Dwayne Weber,14,1,76,4,1,4,414
Dwight Sanford II,44,1,47,3,1,2,312
Dwyane Satterfield,0,3,203,5,5,5,555
Dwyane Veum V,60,1,45,2,1,2,212
Dwyane Yost,21,2,76,4,4,4,444
Dyan Ebert PhD,72,1,57,1,1,2,112
Dyan Hackett,15,3,154,4,5,5,455
Dylan O'Connell,52,1,60,2,1,3,213
Dylan Wehner,5,3,140,5,5,5,555
Dylan Windler,18,1,49,4,1,2,412
Dyllan Osinski,66,1,80,2,1,4,214
Ean Graham,4,2,112,5,4,4,544
Ean O'Connell,35,1,70,3,1,3,313
Ean Raynor,19,1,42,4,1,2,412
Earl Wiegand,40,4,220,3,5,5,355
Earle Haag,9,1,77,5,1,4,514
Earlene Heathcote,61,2,80,2,4,4,244
Earley Botsford,43,3,185,3,5,5,355
Earley Crooks IV,1,1,27,5,1,1,511
Earley Goldner,23,1,37,4,1,1,411
Earley Pfannerstill,29,1,65,3,1,3,313
Earlie Goldner,68,1,60,1,1,3,113
Earlie Kub,68,1,28,1,1,1,111
Earlie Rau,5,1,46,5,1,2,512
Earline Larkin,42,1,64,3,1,3,313
Earnest Rolfson,54,1,78,2,1,4,214
Eartha Becker DDS,32,1,71,3,1,3,313
Easter Buckridge,42,1,46,3,1,2,312
Easter Reinger DDS,82,1,65,1,1,3,113
Easter Roberts,53,1,55,2,1,2,212
Easton Fisher,67,1,76,2,1,4,214
Ebb Champlin,84,1,21,1,1,1,111
Ebb Doyle,85,1,25,1,1,1,111
Ebba Sporer,80,1,63,1,1,3,113
Eben Flatley,89,1,55,1,1,2,112
Eber Brekke,37,1,20,3,1,1,311
Eber Hermann,4,1,44,5,1,2,512
Ebert Hayes,11,1,26,4,1,1,411
Ebony Emard PhD,87,1,22,1,1,1,111
Ebony Schumm,20,6,317,4,5,5,455
Echo Predovic,63,1,31,2,1,1,211
Ed Hammes,81,1,72,1,1,3,113
Ed Klocko,52,1,64,2,1,3,213
Ed Walter,29,2,86,3,4,4,344
Ed Wuckert,35,1,50,3,1,2,312
Eda Toy,87,1,56,1,1,2,112
Edd Harber,12,1,45,4,1,2,412
Edd Kulas,18,1,67,4,1,3,413
Edd Runolfsdottir,6,2,137,5,4,5,545
Eddie Cummings PhD,47,2,106,2,4,4,244
Eddie Gleason,47,2,99,2,4,4,244
Eddie Greenfelder,4,7,274,5,5,5,555
Eddie Hahn,11,1,64,4,1,3,413
Eddie Lehner III,3,6,270,5,5,5,555
Eddie Quitzon MD,37,1,62,3,1,3,313
Eddy Runte,87,2,105,1,4,4,144
Edgar Dooley,45,5,243,3,5,5,355
Edgar Kulas DVM,6,1,72,5,1,3,513
Edgardo Murray,10,5,284,5,5,5,555
Edie Brekke MD,12,1,35,4,1,1,411
Edie Sipes,89,1,74,1,1,3,113
Edie Steuber DVM,68,1,20,1,1,1,111
Edith Legros,29,2,129,3,4,5,345
Edla Senger,4,9,480,5,5,5,555
Edmon Goodwin,87,1,30,1,1,1,111
Edmon Lebsack,80,1,24,1,1,1,111
Edmond Cruickshank,1,1,73,5,1,3,513
Edmond Hand,47,1,26,2,1,1,211
Edmond Langworth,47,1,56,2,1,2,212
Edmund Marquardt,69,1,47,1,1,2,112
Edna Dicki,87,1,58,1,1,2,112
Edna Herman,33,1,33,3,1,1,311
Edna Rowe,27,1,75,3,1,3,313
Edra Feeney,5,3,126,5,5,5,555
Edra Stamm,48,1,22,2,1,1,211
Edris Rippin,12,3,141,4,5,5,455
Edris Tremblay MD,81,1,77,1,1,4,114
Edw Feest,75,1,80,1,1,4,114
Edw Rosenbaum III,4,5,249,5,5,5,555
Edward Hills,5,4,217,5,5,5,555
Edwin Mitchell,45,1,73,3,1,3,313
Edwin Weimann,81,1,51,1,1,2,112
Edwina Walker,5,3,135,5,5,5,555
Edyth Breitenberg,59,1,23,2,1,1,211
Edyth Hills,67,2,78,2,4,4,244
Edyth Sawayn,4,2,101,5,4,4,544
Edyth Yundt,12,2,107,4,4,4,444
Effa Becker,11,3,102,4,5,4,454
Effa Blick,59,1,66,2,1,3,213
Effie Douglas,6,2,104,5,4,4,544
Effie Schaefer,89,1,79,1,1,4,114
Efrain Gerhold,26,5,287,4,5,5,455
Efrem Homenick,83,1,79,1,1,4,114
Efrem Willms,20,2,100,4,4,4,444
Efren Crona,66,1,71,2,1,3,213
Efren DuBuque,44,1,46,3,1,2,312
Egbert Fadel,16,1,23,4,1,1,411
Egbert McLaughlin,22,1,45,4,1,2,412
Eileen Reilly,44,1,42,3,1,2,312
Einar Murphy,14,1,72,4,1,3,413
Eino Feil,6,2,95,5,4,4,544
Eino Reinger,11,2,68,4,4,3,443
Eithel Lind,40,7,342,3,5,5,355
Ela Carroll,19,3,135,4,5,5,455
Elaina Hessel MD,61,1,70,2,1,3,213
Elaina Ritchie,4,7,426,5,5,5,555
Elaine Barrows DVM,18,1,73,4,1,3,413
Elaine Bins PhD,46,1,60,2,1,3,213
Elaine Emard,42,2,103,3,4,4,344
Elaine Walker,18,1,74,4,1,3,413
Elaine Wuckert,1,1,60,5,1,3,513
Elaine Yost DDS,51,1,40,2,1,2,212
Elam Hirthe DVM,20,1,39,4,1,1,411
Elam Yost,90,1,49,1,1,2,112
Elana Breitenberg,12,1,51,4,1,2,412
Elana O'Connell,2,5,250,5,5,5,555
Elba Heidenreich MD,39,1,57,3,1,2,312
Elbert Adams,4,5,273,5,5,5,555
Elbert Carter MD,12,4,232,4,5,5,455
Elberta Daugherty PhD,12,3,153,4,5,5,455
Elberta Parisian,9,1,71,5,1,3,513
Elbridge Brakus,12,1,80,4,1,4,414
Elby Balistreri,57,1,28,2,1,1,211
Elda Koch PhD,21,1,39,4,1,1,411
Elda Powlowski DVM,79,2,100,1,4,4,144
Elda Schumm,24,1,77,4,1,4,414
Elder Hirthe Sr.,31,1,27,3,1,1,311
Elder Kilback,3,5,295,5,5,5,555
Elder Kulas,84,1,56,1,1,2,112
Eldora Bogisich,16,4,256,4,5,5,455
Eldora Feil,55,3,128,2,5,5,255
Eldora Nikolaus,56,2,64,2,4,3,243
Eldred Hauck,71,1,61,1,1,3,113
Eldred Pfeffer,14,2,72,4,4,3,443
Eldridge Blick MD,12,2,139,4,4,5,445
Eldridge Marvin DVM,40,1,62,3,1,3,313
Eleanor Barrows,81,1,35,1,1,1,111
Eleanor Shields,21,2,107,4,4,4,444
Eleanora Daniel MD,11,2,131,4,4,5,445
Eleanore Gusikowski DVM,46,1,75,2,1,3,213
Elease Anderson,6,6,286,5,5,5,555
Elease Fisher,39,1,42,3,1,2,312
Elease Paucek DDS,67,3,146,2,5,5,255
Elena Batz,81,2,83,1,4,4,144
Elena Carter,81,1,56,1,1,2,112
Elena Dibbert,11,2,129,4,4,5,445
Elenor Orn,62,2,121,2,4,4,244
Elenora Lehner,18,5,171,4,5,5,455
Elenora Trantow,47,1,67,2,1,3,213
Elenora Windler,20,1,45,4,1,2,412
Elenore Barton,6,3,178,5,5,5,555
Elenore Blanda,6,1,41,5,1,2,512
Elenore Rath,30,1,80,3,1,4,314
Eleonora Braun,88,1,57,1,1,2,112
Eleonora Runte,46,1,58,2,1,2,212
Eleonore Blick,81,1,69,1,1,3,113
Eleonore Heidenreich,73,1,38,1,1,1,111
Eleonore Nienow,42,2,102,3,4,4,344
Elex Feeney,15,1,80,4,1,4,414
Elex Harber,6,3,182,5,5,5,555
Elex Labadie,7,3,139,5,5,5,555
Elfie Smith,56,1,73,2,1,3,213
Elfie Spinka,56,2,130,2,4,5,245
Elfreda Jacobi,7,2,108,5,4,4,544
Elfreda Volkman,32,1,51,3,1,2,312
Elfrieda Bradtke,6,1,68,5,1,3,513
Elfrieda Halvorson MD,43,2,94,3,4,4,344
Elfrieda Moore,1,1,39,5,1,1,511
Elgie Cole,54,1,47,2,1,2,212
Elgie Leuschke,29,1,79,3,1,4,314
Elgie Schmidt,11,1,46,4,1,2,412
Elgin Abbott,17,2,89,4,4,4,444
Eli Armstrong I,42,3,105,3,5,4,354
Eli Smith,80,1,68,1,1,3,113
Elian Cartwright,35,2,91,3,4,4,344
Eliana Langosh,79,2,119,1,4,4,144
Elianna Swift,33,1,35,3,1,1,311
Elianna West,68,1,22,1,1,1,111
Elias Huels V,46,1,70,2,1,3,213
Elias Reichel,80,1,54,1,1,2,112
Elida Cole,50,1,48,2,1,2,212
Elida Walter,40,2,89,3,4,4,344
Elie Hagenes,37,1,56,3,1,2,312
Elie Murazik,46,1,74,2,1,3,213
Elie Tremblay,6,3,178,5,5,5,555
Eliezer Hoeger,90,1,51,1,1,2,112
Eliezer Kuphal,47,2,72,2,4,3,243
Eliezer Mante,19,1,30,4,1,1,411
Eliga Padberg,44,1,58,3,1,2,312
Eliga Quigley,10,2,127,5,4,5,545
Elige Weissnat I,73,1,52,1,1,2,112
Elihu Rutherford,79,1,45,1,1,2,112
Elijah Farrell,3,1,57,5,1,2,512
Elinor Howell,1,14,717,5,5,5,555
Elinore Doyle,47,1,65,2,1,3,213
Eliot Batz,10,1,72,5,1,3,513
Eliot Conroy,2,1,61,5,1,3,513
Eliot Kohler,39,1,46,3,1,2,312
Eliot Zieme,27,1,77,3,1,4,314
Elisabeth Prohaska,52,1,50,2,1,2,212
Elisabeth Willms DDS,35,1,77,3,1,4,314
Elise Kertzmann,47,1,53,2,1,2,212
Eliseo Stroman,34,1,43,3,1,2,312
Elisha Cassin,11,5,269,4,5,5,455
Elisha Olson,11,2,150,4,4,5,445
Elissa Hoppe MD,12,2,105,4,4,4,444
Eliza Daniel,34,2,135,3,4,5,345
Eliza Moore,2,2,76,5,4,4,544
Eliza Schowalter,69,1,71,1,1,3,113
Elizabet Block,4,1,22,5,1,1,511
Elizabet McCullough,81,1,21,1,1,1,111
Elizabet Schiller,1,1,68,5,1,3,513
Elizabeth Donnelly,1,2,90,5,4,4,544
Elizah Abbott,45,1,74,3,1,3,313
Elizah Carter,74,1,20,1,1,1,111
Elizah Lebsack,79,1,70,1,1,3,113
Elizbeth Durgan,71,1,36,1,1,1,111
Elizbeth West,81,1,76,1,1,4,114
Ell Conroy,6,1,51,5,1,2,512
Ell Kunze,4,4,185,5,5,5,555
Ella Becker,3,1,48,5,1,2,512
Ella Botsford,5,2,78,5,4,4,544
Ellamae Nader,27,1,20,3,1,1,311
Ellamae Pouros,4,6,307,5,5,5,555
Ellamae Roob MD,61,1,27,2,1,1,211
Ellar Littel,67,1,28,2,1,1,211
Ellen Gislason,73,1,62,1,1,3,113
Ellen Mills MD,5,3,215,5,5,5,555
Eller Marquardt,72,2,106,1,4,4,144
Ellery Hand,64,1,56,2,1,2,212
Elliana Greenfelder PhD,3,2,67,5,4,3,543
Ellie Kihn,46,1,59,2,1,3,213
Ellie Schulist,4,1,38,5,1,1,511
Elliott Larkin III,76,1,54,1,1,2,112
Elliott Stroman,28,1,52,3,1,2,312
Ellison Bins,24,4,159,4,5,5,455
Ellison Lemke,68,1,22,1,1,1,111
Ellison Walter,4,1,23,5,1,1,511
Ellsworth Bartell,5,4,161,5,5,5,555
Ellwood Kozey,33,1,25,3,1,1,311
Ellyn Koepp,67,1,79,2,1,4,214
Ellyn Pagac,41,1,33,3,1,1,311
Ellyn Parisian DVM,42,1,53,3,1,2,312
Elmer Purdy,5,2,60,5,4,3,543
Elmina Hartmann,17,3,156,4,5,5,455
Elmira Mayert,55,2,82,2,4,4,244
Elmire Hammes,50,1,29,2,1,1,211
Elmo Schimmel,13,1,73,4,1,3,413
Elmyra Baumbach,8,1,60,5,1,3,513
Elmyra Schaefer,15,2,65,4,4,3,443
Elnora Williamson,88,1,35,1,1,1,111
Elodie Metz MD,3,7,343,5,5,5,555
Elodie Stanton,5,4,218,5,5,5,555
Elois Grady,33,1,50,3,1,2,312
Elois Koepp,86,1,80,1,1,4,114
Elois Kuvalis,24,1,30,4,1,1,411
Eloisa Borer,16,1,73,4,1,3,413
Eloisa Dare,67,2,151,2,4,5,245
Eloisa Emmerich,43,1,25,3,1,1,311
Eloisa Hansen,47,1,72,2,1,3,213
Eloise Durgan,12,3,170,4,5,5,455
Elon Haag,24,1,46,4,1,2,412
Elon Kerluke,13,1,46,4,1,2,412
Elon Lubowitz,88,1,42,1,1,2,112
Elonzo Legros,32,4,208,3,5,5,355
Elonzo Powlowski,43,2,130,3,4,5,345
Elouise Lubowitz,81,1,38,1,1,1,111
Elroy Gislason,41,1,43,3,1,2,312
Elroy Gutmann III,6,4,152,5,5,5,555
Elroy Kozey,11,4,157,4,5,5,455
Elroy Roberts,11,1,55,4,1,2,412
Elsie Eichmann,47,1,41,2,1,2,212
Elsie Howell,39,2,88,3,4,4,344
Elsie Parker,28,1,31,3,1,1,311
Elton Johnston,42,2,120,3,4,4,344
Elton Kertzmann III,32,3,132,3,5,5,355
Elton Satterfield,11,1,55,4,1,2,412
Elva McCullough,5,1,66,5,1,3,513
Elvera Hilll,19,1,52,4,1,2,412
Elvia Ortiz,50,3,161,2,5,5,255
Elvie Dooley,39,2,125,3,4,5,345
Elvie Zulauf,39,4,212,3,5,5,355
Elvin Connelly,31,1,39,3,1,1,311
Elvin Streich,67,1,66,2,1,3,213
Elvina Heaney,21,1,75,4,1,3,413
Elvina Rempel,79,2,66,1,4,3,143
Elvira Beahan DVM,2,1,48,5,1,2,512
Elvira Harris MD,79,1,46,1,1,2,112
Elvira Purdy,49,1,41,2,1,2,212
Elvis Rippin,33,1,39,3,1,1,311
Elvis Schuppe,61,1,61,2,1,3,213
Elwanda Runolfsson DVM,2,4,169,5,5,5,555
Elwanda Waelchi,67,1,44,2,1,2,212
Elwin Hayes,2,1,77,5,1,4,514
Elwood Kirlin,80,1,73,1,1,3,113
Elwyn Green,79,2,99,1,4,4,144
Elwyn Koepp DVM,35,1,52,3,1,2,312
Ely Kuvalis,47,1,56,2,1,2,212
Ely Schmidt,63,1,30,2,1,1,211
Elyse Langosh,17,1,20,4,1,1,411
Elyssa Gerhold,5,1,75,5,1,3,513
Elza Barrows,26,1,77,4,1,4,414
Elza Gleichner,22,1,63,4,1,3,413
Elzie Blanda,5,1,80,5,1,4,514
Elzie Roberts,41,1,42,3,1,2,312
Elzy Cormier,22,4,211,4,5,5,455
Elzy Ritchie,23,2,70,4,4,3,443
Ema Zemlak,76,1,35,1,1,1,111
Emaline Conn,5,6,306,5,5,5,555
Emanuel Haley,61,1,22,2,1,1,211
Emanuel Reichert,21,3,148,4,5,5,455
Emanuel Schultz,28,1,25,3,1,1,311
Emanuel Will,18,2,139,4,4,5,445
Ember Goldner,31,1,49,3,1,2,312
Emelia Gusikowski,70,1,31,1,1,1,111
Emelie Hartmann,80,1,79,1,1,4,114
Emeline Conn,46,2,135,2,4,5,245
Emerald Mayert,38,1,74,3,1,3,313
Emerald Ritchie,89,1,73,1,1,3,113
Emerson Conroy,68,3,141,1,5,5,155
Emerson McCullough,40,2,81,3,4,4,344
